# Gene Family	demo_Abundance-RPKs
UniRef90_A0A174BQR0|unclassified	42.0268143859
UniRef90_E5C8W4	41.9940266720
UniRef90_E5C8W4|unclassified	41.9940266720
UniRef90_Q8A2S4	41.9321901829
UniRef90_Q8A2S4|unclassified	41.9321901829
UniRef90_R5B0G0	41.8399461227
UniRef90_R5B0G0|unclassified	41.8399461227
UniRef90_R5BA18	41.8171272543
UniRef90_R5BA18|unclassified	41.8171272543
UniRef90_A0A174UXW6	41.7933971267
UniRef90_A0A174UXW6|unclassified	41.7933971267
UniRef90_C3Q9Z8	41.7626939764
UniRef90_C3Q9Z8|unclassified	41.7626939764
UniRef90_A0A0N7I9S5	41.7385853509
UniRef90_A0A0N7I9S5|unclassified	41.7385853509
UniRef90_A0A174P957	41.7270280037
UniRef90_A0A174P957|unclassified	41.7270280037
UniRef90_F3ZQQ0	41.6511804683
UniRef90_F3ZQQ0|unclassified	41.6511804683
UniRef90_D6CXV5	41.6481695546
UniRef90_D6CXV5|unclassified	41.6481695546
UniRef90_R5AVT8	41.5775113960
UniRef90_R5AVT8|unclassified	41.5775113960
UniRef90_A0A078Q2E8	41.4262475494
UniRef90_A0A078Q2E8|unclassified	41.4262475494
UniRef90_D1JPK9	41.2964928194
UniRef90_D1JPK9|unclassified	41.2964928194
UniRef90_A0A0P0EQJ8	41.2912883030
UniRef90_A0A0P0EQJ8|unclassified	41.2912883030
UniRef90_Q8A5K8	41.2740257156
UniRef90_Q8A5K8|unclassified	41.2740257156
UniRef90_R5B8V1	41.2032976025
UniRef90_R5B8V1|unclassified	41.2032976025
UniRef90_A0A2M9UZF8	41.1854690162
UniRef90_A0A2M9UZF8|unclassified	41.1854690162
UniRef90_R5AXN1	41.0817093700
UniRef90_R5AXN1|unclassified	41.0817093700
UniRef90_R5B1Q2	41.0387589391
UniRef90_R5B1Q2|unclassified	41.0387589391
UniRef90_A0A1C7H218	41.0022212843
UniRef90_A0A1C7H218|unclassified	41.0022212843
UniRef90_A0A174QQT5	40.9061109092
UniRef90_A0A174QQT5|unclassified	40.9061109092
UniRef90_I9SZ35	40.8338501741
UniRef90_I9SZ35|unclassified	40.8338501741
UniRef90_R6K3Z5	40.8034000671
UniRef90_R6K3Z5|unclassified	40.8034000671
UniRef90_E4MDP0	40.7657925893
UniRef90_E4MDP0|unclassified	40.7657925893
UniRef90_R5AZM0	40.7315269251
UniRef90_R5AZM0|unclassified	40.7315269251
UniRef90_A0A078Q099	40.4994360725
UniRef90_A0A078Q099|unclassified	40.4994360725
UniRef90_A0A395VY67	40.4442290687
UniRef90_A0A395VY67|unclassified	40.4442290687
UniRef90_A0A1V6H6Z3	40.4311817627
UniRef90_A0A1V6H6Z3|unclassified	40.4311817627
UniRef90_A0A0P0GD67	40.4282395769
UniRef90_A0A0P0GD67|unclassified	40.4282395769
UniRef90_R5AVR8	40.4234470965
UniRef90_R5AVR8|unclassified	40.4234470965
UniRef90_Q8AA27	40.4033105014
UniRef90_Q8AA27|unclassified	40.4033105014
UniRef90_Q8A8D9	40.2773032675
UniRef90_Q8A8D9|unclassified	40.2773032675
UniRef90_A0A174B9Q2	40.2346835667
UniRef90_A0A174B9Q2|unclassified	40.2346835667
UniRef90_Q8A624	40.1608010160
UniRef90_Q8A624|unclassified	40.1608010160
UniRef90_A0A078QC54	40.1569286943
UniRef90_A0A078QC54|unclassified	40.1569286943
UniRef90_R5B158	40.0946258623
UniRef90_R5B158|unclassified	40.0946258623
UniRef90_R5AU85	40.0510428995
UniRef90_R5AU85|unclassified	40.0510428995
UniRef90_R5AYW0	40.0475883766
UniRef90_R5AYW0|unclassified	40.0475883766
UniRef90_D6D8A6	40.0127039543
UniRef90_D6D8A6|unclassified	40.0127039543
UniRef90_W6P6L4	39.9317589123
UniRef90_W6P6L4|unclassified	39.9317589123
UniRef90_A0A2M9UUD5	39.9223001881
UniRef90_A0A2M9UUD5|unclassified	39.9223001881
UniRef90_A0A1C5NHH2	39.8867171059
UniRef90_A0A1C5NHH2|unclassified	39.8867171059
UniRef90_A0A174HVV1	39.8706161166
UniRef90_A0A174HVV1|unclassified	39.8706161166
UniRef90_W4P968	39.8657614478
UniRef90_W4P968|unclassified	39.8657614478
UniRef90_Q8A6M0	39.8641495348
UniRef90_Q8A6M0|unclassified	39.8641495348
UniRef90_R5B1D3	39.8611862984
UniRef90_R5B1D3|unclassified	39.8611862984
UniRef90_Q9RQ13	39.8543825328
UniRef90_Q9RQ13|unclassified	39.8543825328
UniRef90_I9UMJ5	39.8072689292
UniRef90_I9UMJ5|unclassified	39.8072689292
UniRef90_A0A015QC38	39.7790938593
UniRef90_A0A015QC38|unclassified	39.7790938593
UniRef90_C3QVJ0	39.7773162234
UniRef90_C3QVJ0|unclassified	39.7773162234
UniRef90_A0A174HPA4	39.7482661530
UniRef90_A0A174HPA4|unclassified	39.7482661530
UniRef90_R5AYG6	39.6839058673
UniRef90_R5AYG6|unclassified	39.6839058673
UniRef90_Q8A005	39.6771858111
UniRef90_Q8A005|unclassified	39.6771858111
UniRef90_R6K5L8	39.6483562512
UniRef90_R6K5L8|unclassified	39.6483562512
UniRef90_A0A078Q1N8	39.6415862051
UniRef90_A0A078Q1N8|unclassified	39.6415862051
UniRef90_R5AZK8	39.5073279464
UniRef90_R5AZK8|unclassified	39.5073279464
UniRef90_R5B4A6	39.4980537477
UniRef90_R5B4A6|unclassified	39.4980537477
UniRef90_R5B925	39.4624983580
UniRef90_R5B925|unclassified	39.4624983580
UniRef90_A0A174KGL0	39.4406300521
UniRef90_A0A174KGL0|unclassified	39.4406300521
UniRef90_F9Z4Q9	39.3548646065
UniRef90_F9Z4Q9|unclassified	39.3548646065
UniRef90_D7JB39	39.3317097676
UniRef90_D7JB39|unclassified	39.3317097676
UniRef90_A0A0P0EX40	39.2661882473
UniRef90_A0A0P0EX40|unclassified	39.2661882473
UniRef90_R5AXR1	39.2591777874
UniRef90_R5AXR1|unclassified	39.2591777874
UniRef90_R5B0W3	39.2491374112
UniRef90_R5B0W3|unclassified	39.2491374112
UniRef90_A0A173ZH74	39.2080661192
UniRef90_A0A173ZH74|unclassified	39.2080661192
UniRef90_R5BB90	39.1434481217
UniRef90_R5BB90|unclassified	39.1434481217
UniRef90_R5UNG3	39.1222884975
UniRef90_R5UNG3|unclassified	39.1222884975
UniRef90_A0A173XEM4	38.9711925318
UniRef90_A0A173XEM4|unclassified	38.9711925318
UniRef90_A0A078Q0E0	38.9250634588
UniRef90_A0A078Q0E0|unclassified	38.9250634588
UniRef90_Q8A044	38.9236689862
UniRef90_Q8A044|unclassified	38.9236689862
UniRef90_W6PKQ7	38.9164801950
UniRef90_W6PKQ7|unclassified	38.9164801950
UniRef90_A0A173Y5D7	38.8949129656
UniRef90_A0A173Y5D7|unclassified	38.8949129656
UniRef90_C3QHA8	38.8534446662
UniRef90_C3QHA8|unclassified	38.8534446662
UniRef90_R5AZV7	38.8450296651
UniRef90_R5AZV7|unclassified	38.8450296651
UniRef90_A0A076J530	38.8066017359
UniRef90_A0A076J530|unclassified	38.8066017359
UniRef90_A0A174AZZ6	38.7547160533
UniRef90_A0A174AZZ6|unclassified	38.7547160533
UniRef90_C3R2M1	38.7468013246
UniRef90_C3R2M1|unclassified	38.7468013246
UniRef90_R5AYY5	38.6710077604
UniRef90_R5AYY5|unclassified	38.6710077604
UniRef90_A0A174HPR0	38.6161435628
UniRef90_A0A174HPR0|unclassified	38.6161435628
UniRef90_R5B5A7	38.5795578801
UniRef90_R5B5A7|unclassified	38.5795578801
UniRef90_R5B1Z0	38.5044368690
UniRef90_R5B1Z0|unclassified	38.5044368690
UniRef90_Q8A8Y4	38.4949035851
UniRef90_Q8A8Y4|unclassified	38.4949035851
UniRef90_R6J4G3	38.4403217775
UniRef90_R6J4G3|unclassified	38.4403217775
UniRef90_Q8AA15	38.4274096168
UniRef90_Q8AA15|unclassified	38.4274096168
UniRef90_R5B679	38.3951808162
UniRef90_R5B679|unclassified	38.3951808162
UniRef90_R5B5Y0	38.3790248763
UniRef90_R5B5Y0|unclassified	38.3790248763
UniRef90_R5B9V4	38.3704930821
UniRef90_R5B9V4|unclassified	38.3704930821
UniRef90_R5B9K8	38.3613889503
UniRef90_R5B9K8|unclassified	38.3613889503
UniRef90_F7LC31	38.2615346015
UniRef90_F7LC31|unclassified	38.2615346015
UniRef90_R5B798	38.2290181670
UniRef90_R5B798|unclassified	38.2290181670
UniRef90_D4WFS7	38.2198154449
UniRef90_D4WFS7|unclassified	38.2198154449
UniRef90_A0A0P0ESE9	38.2164242847
UniRef90_A0A0P0ESE9|unclassified	38.2164242847
UniRef90_R5B2H9	38.2072669783
UniRef90_R5B2H9|unclassified	38.2072669783
UniRef90_R6JNK4	38.1441766733
UniRef90_R6JNK4|unclassified	38.1441766733
UniRef90_A0A0P0FMX5	38.1252699175
UniRef90_A0A0P0FMX5|unclassified	38.1252699175
UniRef90_E1WRK2	37.9904441487
UniRef90_E1WRK2|unclassified	37.9904441487
UniRef90_D7K304	37.9876712899
UniRef90_D7K304|unclassified	37.9876712899
UniRef90_E5CE90	37.9382249867
UniRef90_E5CE90|unclassified	37.9382249867
UniRef90_D4VQH3	37.9238730722
UniRef90_D4VQH3|unclassified	37.9238730722
UniRef90_A0A0P0FAE2	37.8506350843
UniRef90_A0A0P0FAE2|unclassified	37.8506350843
UniRef90_R5B661	37.8486492666
UniRef90_R5B661|unclassified	37.8486492666
UniRef90_A0A1C5RXC7	37.8441351143
UniRef90_A0A1C5RXC7|unclassified	37.8441351143
UniRef90_A7M608	37.8421763015
UniRef90_A7M608|unclassified	37.8421763015
UniRef90_D0TV41	37.8330574845
UniRef90_D0TV41|unclassified	37.8330574845
UniRef90_R5BAF4	37.8285283054
UniRef90_R5BAF4|unclassified	37.8285283054
UniRef90_R5B1G7	37.8266661803
UniRef90_R5B1G7|unclassified	37.8266661803
UniRef90_D6CZ15	37.6722319066
UniRef90_D6CZ15|unclassified	37.6722319066
UniRef90_R5AVE8	37.6711230170
UniRef90_R5AVE8|unclassified	37.6711230170
UniRef90_D4VP73	37.5683543152
UniRef90_D4VP73|unclassified	37.5683543152
UniRef90_R5BBC8	37.5442576142
UniRef90_R5BBC8|unclassified	37.5442576142
UniRef90_R5AX55	37.5200684279
UniRef90_R5AX55|unclassified	37.5200684279
UniRef90_A0A174ILU4	37.4587496280
UniRef90_A0A174ILU4|unclassified	37.4587496280
UniRef90_I9JFK4	37.4409918840
UniRef90_I9JFK4|unclassified	37.4409918840
UniRef90_A0A173YUZ6	37.4044824433
UniRef90_A0A173YUZ6|unclassified	37.4044824433
UniRef90_C6IP85	37.3844293166
UniRef90_C6IP85|unclassified	37.3844293166
UniRef90_A0A1C6FMQ7	37.3266984449
UniRef90_A0A1C6FMQ7|unclassified	37.3266984449
UniRef90_A0A139KUX8	37.3076189591
UniRef90_A0A139KUX8|unclassified	37.3076189591
UniRef90_A0A0P0FKP3	37.2503649960
UniRef90_A0A0P0FKP3|unclassified	37.2503649960
UniRef90_D4VLF6	37.1091038625
UniRef90_D4VLF6|unclassified	37.1091038625
UniRef90_I9EZE0	37.0784968605
UniRef90_I9EZE0|unclassified	37.0784968605
UniRef90_R5B1U4	37.0016971808
UniRef90_R5B1U4|unclassified	37.0016971808
UniRef90_R5BBV0	36.9827710125
UniRef90_R5BBV0|unclassified	36.9827710125
UniRef90_A0A3A9BZK7	36.9418586932
UniRef90_A0A3A9BZK7|unclassified	36.9418586932
UniRef90_Q8A2B1	36.9191990975
UniRef90_Q8A2B1|unclassified	36.9191990975
UniRef90_Q8A767	36.9057016025
UniRef90_Q8A767|unclassified	36.9057016025
UniRef90_A0A174JI15	36.8943145447
UniRef90_A0A174JI15|unclassified	36.8943145447
UniRef90_A0A174A7B1	36.8016247163
UniRef90_A0A174A7B1|unclassified	36.8016247163
UniRef90_A0A397WLU0	36.7495029633
UniRef90_A0A397WLU0|unclassified	36.7495029633
UniRef90_R5BBQ8	36.7287392230
UniRef90_R5BBQ8|unclassified	36.7287392230
UniRef90_D4VKR7	36.7075739535
UniRef90_D4VKR7|unclassified	36.7075739535
UniRef90_A0A174FMF0	36.6933325699
UniRef90_A0A174FMF0|unclassified	36.6933325699
UniRef90_Q8AAQ1	36.6595678841
UniRef90_Q8AAQ1|unclassified	36.6595678841
UniRef90_R5B2I2	36.6267063862
UniRef90_R5B2I2|unclassified	36.6267063862
UniRef90_A0A0N7IAV0	36.5212479250
UniRef90_A0A0N7IAV0|unclassified	36.5212479250
UniRef90_A0A0P0FNN8	36.4885761205
UniRef90_A0A0P0FNN8|unclassified	36.4885761205
UniRef90_R5B030	36.4755518476
UniRef90_R5B030|unclassified	36.4755518476
UniRef90_Q8A883	36.4499472187
UniRef90_Q8A883|unclassified	36.4499472187
UniRef90_R5B174	36.4359449924
UniRef90_R5B174|unclassified	36.4359449924
UniRef90_A0A173ZEX6	36.4227884352
UniRef90_A0A173ZEX6|unclassified	36.4227884352
UniRef90_R5B036	36.3930773911
UniRef90_R5B036|unclassified	36.3930773911
UniRef90_R5AYI9	36.3926830229
UniRef90_R5AYI9|unclassified	36.3926830229
UniRef90_A0A0P0L9Z5	36.3631889161
UniRef90_A0A0P0L9Z5|unclassified	36.3631889161
UniRef90_A0A174NNM9	36.2341570039
UniRef90_A0A174NNM9|unclassified	36.2341570039
UniRef90_A0A174GF43	36.1740785738
